Cell,month,RUNOFF,BASEFLOW
         1,         1,     3.302,     3.302
         1,         2,     2.384,     2.211
         1,         3,     7.006,     3.804
         1,         4,    20.800,     8.243
         1,         5,    62.852,    14.660
         1,         6,    74.941,    15.337
         1,         7,    83.756,    16.133
         1,         8,    82.804,    15.366
         1,         9,    71.099,    14.900
         1,        10,    41.472,    13.592
         1,        11,     7.557,     7.199
         1,        12,     4.335,     4.335
         2,         1,     1.305,     1.305
         2,         2,     0.709,     0.147
         2,         3,     9.847,     1.560
         2,         4,    22.598,     4.235
         2,         5,    58.433,    11.124
         2,         6,    66.648,    14.013
         2,         7,    75.116,    16.465
         2,         8,    74.771,    16.548
         2,         9,    65.895,    14.519
         2,        10,    38.282,     9.424
         2,        11,     1.908,     1.465
         2,        12,     0.007,     0.007
         3,         1,     1.305,     1.305
         3,         2,     0.119,     0.030
         3,         3,    10.199,     1.764
         3,         4,    27.479,     5.090
         3,         5,    64.140,    12.709
         3,         6,    73.238,    15.711
         3,         7,    82.515,    18.176
         3,         8,    80.352,    17.806
         3,         9,    68.643,    15.359
         3,        10,    39.247,     9.683
         3,        11,     1.773,     1.462
         3,        12,     0.007,     0.007
         4,         1,     1.305,     1.305
         4,         2,     0.122,     0.030
         4,         3,     4.356,     0.804
         4,         4,    35.438,     6.533
         4,         5,    69.271,    13.516
         4,         6,    77.494,    16.411
         4,         7,    86.565,    19.086
         4,         8,    84.040,    18.605
         4,         9,    70.995,    15.834
         4,        10,    41.138,    10.124
         4,        11,     1.776,     1.519
         4,        12,     0.008,     0.008
         5,         1,     1.305,     1.305
         5,         2,     0.121,     0.030
         5,         3,     7.972,     1.490
         5,         4,    32.675,     6.134
         5,         5,    68.241,    13.663
         5,         6,    77.468,    16.650
         5,         7,    86.897,    19.145
         5,         8,    84.410,    18.696
         5,         9,    71.701,    16.065
         5,        10,    41.113,    10.137
         5,        11,     1.791,     1.521
         5,        12,     0.008,     0.008
         6,         1,     1.305,     1.305
         6,         2,     0.124,     0.031
         6,         3,     0.656,     0.035
         6,         4,    40.509,     7.433
         6,         5,    73.908,    15.051
         6,         6,    83.031,    17.890
         6,         7,    95.240,    20.868
         6,         8,    91.871,    20.338
         6,         9,    76.149,    17.135
         6,        10,    42.819,    10.605
         6,        11,     1.852,     1.579
         6,        12,     0.008,     0.008
         7,         1,     1.421,     1.330
         7,         2,     0.006,     0.006
         7,         3,    10.217,     1.800
         7,         4,    26.166,     4.872
         7,         5,    62.588,    11.181
         7,         6,    75.032,    15.536
         7,         7,    86.270,    18.954
         7,         8,    85.193,    18.801
         7,         9,    72.300,    16.105
         7,        10,    39.686,     9.888
         7,        11,     1.764,     1.467
         7,        12,     0.007,     0.007
         8,         1,     1.213,     1.115
         8,         2,     0.006,     0.006
         8,         3,     5.676,     0.474
         8,         4,    18.560,     2.160
         8,         5,    54.105,     7.560
         8,         6,    66.859,    12.571
         8,         7,    76.617,    14.756
         8,         8,    76.344,    14.742
         8,         9,    65.178,    12.609
         8,        10,    36.397,     7.831
         8,        11,     1.971,     1.307
         8,        12,     0.009,     0.009
         9,         1,     1.305,     1.305
         9,         2,     0.231,     0.044
         9,         3,     2.971,     0.208
         9,         4,    15.100,     1.951
         9,         5,    49.833,     7.815
         9,         6,    61.191,    12.419
         9,         7,    70.689,    15.137
         9,         8,    71.963,    15.887
         9,         9,    63.715,    14.099
         9,        10,    35.677,     8.848
         9,        11,     2.249,     1.456
         9,        12,     0.009,     0.009
        10,         1,     1.305,     1.305
        10,         2,     0.103,     0.006
        10,         3,     2.073,     0.121
        10,         4,    13.310,     1.719
        10,         5,    47.103,     6.527
        10,         6,    60.318,    12.092
        10,         7,    69.388,    15.013
        10,         8,    70.790,    15.618
        10,         9,    63.140,    14.043
        10,        10,    34.452,     8.589
        10,        11,     2.125,     1.392
        10,        12,     0.007,     0.007
        11,         1,     1.305,     1.305
        11,         2,     0.000,     0.000
        11,         3,     1.993,     0.111
        11,         4,    12.266,     1.288
        11,         5,    48.608,     6.880
        11,         6,    63.552,    11.834
        11,         7,    75.205,    15.760
        11,         8,    76.029,    16.744
        11,         9,    64.578,    14.408
        11,        10,    34.135,     8.559
        11,        11,     2.092,     1.367
        11,        12,     0.007,     0.007
        12,         1,     1.305,     1.305
        12,         2,     0.112,     0.008
        12,         3,     2.344,     0.141
        12,         4,    12.500,     1.503
        12,         5,    47.704,     6.945
        12,         6,    61.127,    11.887
        12,         7,    70.573,    14.906
        12,         8,    71.755,    15.824
        12,         9,    61.833,    13.809
        12,        10,    32.443,     8.157
        12,        11,     1.987,     1.300
        12,        12,     0.007,     0.007
        13,         1,     1.305,     1.305
        13,         2,     0.214,     0.035
        13,         3,     1.762,     0.125
        13,         4,    13.428,     1.539
        13,         5,    48.044,     6.440
        13,         6,    59.557,    11.397
        13,         7,    68.205,    14.519
        13,         8,    70.520,    15.502
        13,         9,    63.640,    14.075
        13,        10,    34.850,     8.680
        13,        11,     2.149,     1.407
        13,        12,     0.007,     0.007
        14,         1,     1.305,     1.305
        14,         2,     0.294,     0.056
        14,         3,     3.745,     0.280
        14,         4,    16.748,     2.245
        14,         5,    53.827,     8.930
        14,         6,    65.600,    13.094
        14,         7,    74.945,    16.259
        14,         8,    76.543,    16.844
        14,         9,    67.927,    15.096
        14,        10,    37.146,     9.249
        14,        11,     2.384,     1.521
        14,        12,     0.011,     0.011
        15,         1,     1.305,     1.305
        15,         2,     0.429,     0.082
        15,         3,     3.764,     0.310
        15,         4,    16.682,     2.396
        15,         5,    52.391,     8.570
        15,         6,    64.029,    12.631
        15,         7,    73.217,    15.569
        15,         8,    75.228,    16.513
        15,         9,    65.514,    14.520
        15,        10,    35.911,     8.935
        15,        11,     2.379,     1.483
        15,        12,     0.014,     0.014
        16,         1,     1.419,     1.329
        16,         2,     0.006,     0.006
        16,         3,     7.230,     0.892
        16,         4,    20.832,     3.655
        16,         5,    56.054,     9.802
        16,         6,    65.795,    13.329
        16,         7,    74.963,    16.405
        16,         8,    76.459,    16.781
        16,         9,    67.075,    14.789
        16,        10,    38.242,     9.437
        16,        11,     2.157,     1.511
        16,        12,     0.008,     0.008
        17,         1,     1.417,     1.329
        17,         2,     0.006,     0.006
        17,         3,     7.483,     0.931
        17,         4,    21.270,     3.747
        17,         5,    57.252,    10.160
        17,         6,    67.096,    13.584
        17,         7,    77.716,    16.993
        17,         8,    78.694,    17.270
        17,         9,    67.994,    15.074
        17,        10,    38.820,     9.571
        17,        11,     2.198,     1.536
        17,        12,     0.008,     0.008
        18,         1,     1.419,     1.330
        18,         2,     0.628,     0.129
        18,         3,     9.186,     1.596
        18,         4,    24.956,     4.634
        18,         5,    59.482,    10.647
        18,         6,    70.714,    14.274
        18,         7,    81.959,    17.886
        18,         8,    82.320,    18.059
        18,         9,    69.211,    15.433
        18,        10,    38.170,     9.481
        18,        11,     1.694,     1.409
        18,        12,     0.007,     0.007
        19,         1,     1.425,     1.331
        19,         2,     0.006,     0.006
        19,         3,    11.044,     1.935
        19,         4,    27.541,     5.129
        19,         5,    62.863,    11.455
        19,         6,    72.938,    14.932
        19,         7,    84.030,    18.407
        19,         8,    84.305,    18.510
        19,         9,    72.130,    16.106
        19,        10,    40.986,    10.116
        19,        11,     1.829,     1.520
        19,        12,     0.008,     0.008
        20,         1,     1.418,     1.329
        20,         2,     0.808,     0.163
        20,         3,     9.654,     1.698
        20,         4,    25.638,     4.763
        20,         5,    60.224,    10.660
        20,         6,    70.878,    14.319
        20,         7,    81.240,    17.836
        20,         8,    82.026,    18.015
        20,         9,    69.695,    15.553
        20,        10,    38.927,     9.646
        20,        11,     1.732,     1.440
        20,        12,     0.007,     0.007
        21,         1,     1.425,     1.331
        21,         2,     0.837,     0.169
        21,         3,    10.104,     1.760
        21,         4,    26.867,     4.976
        21,         5,    62.210,    11.324
        21,         6,    72.460,    14.798
        21,         7,    83.871,    18.360
        21,         8,    84.566,    18.551
        21,         9,    72.063,    16.076
        21,        10,    40.916,    10.103
        21,        11,     1.828,     1.518
        21,        12,     0.008,     0.008
        22,         1,     1.428,     1.331
        22,         2,     0.006,     0.006
        22,         3,     7.377,     1.259
        22,         4,    31.640,     5.820
        22,         5,    66.002,    12.173
        22,         6,    76.018,    15.619
        22,         7,    86.383,    18.932
        22,         8,    86.256,    18.932
        22,         9,    72.907,    16.306
        22,        10,    41.453,    10.230
        22,        11,     1.842,     1.537
        22,        12,     0.008,     0.008
        23,         1,     1.433,     1.333
        23,         2,     0.006,     0.006
        23,         3,     8.625,     1.622
        23,         4,    33.279,     6.122
        23,         5,    69.688,    13.057
        23,         6,    81.251,    16.793
        23,         7,    92.998,    20.355
        23,         8,    93.223,    20.456
        23,         9,    77.903,    17.476
        23,        10,    43.086,    10.701
        23,        11,     1.839,     1.578
        23,        12,     0.008,     0.008
        24,         1,     1.432,     1.333
        24,         2,     0.006,     0.006
        24,         3,     9.854,     1.698
        24,         4,    31.156,     5.718
        24,         5,    68.722,    12.953
        24,         6,    81.031,    16.750
        24,         7,    93.345,    20.428
        24,         8,    93.803,    20.585
        24,         9,    78.211,    17.558
        24,        10,    42.929,    10.682
        24,        11,     1.902,     1.586
        24,        12,     0.008,     0.008
        25,         1,     1.428,     1.332
        25,         2,     1.151,     0.232
        25,         3,    11.396,     1.869
        25,         4,    25.592,     4.748
        25,         5,    65.683,    12.408
        25,         6,    80.602,    16.651
        25,         7,    93.917,    20.565
        25,         8,    94.299,    20.730
        25,         9,    77.696,    17.490
        25,        10,    42.900,    10.659
        25,        11,     2.259,     1.661
        25,        12,     0.014,     0.014
        26,         1,     1.433,     1.333
        26,         2,     0.006,     0.006
        26,         3,    10.661,     1.823
        26,         4,    32.852,     6.255
        26,         5,    71.399,    13.766
        26,         6,    84.534,    17.549
        26,         7,    98.494,    21.487
        26,         8,    99.042,    21.722
        26,         9,    81.311,    18.315
        26,        10,    44.773,    11.136
        26,        11,     1.992,     1.658
        26,        12,     0.008,     0.008
        27,         1,     1.436,     1.334
        27,         2,     0.006,     0.006
        27,         3,     1.209,     0.072
        27,         4,    43.494,     8.025
        27,         5,    78.825,    15.689
        27,         6,    89.482,    18.798
        27,         7,   102.976,    22.493
        27,         8,   102.550,    22.526
        27,         9,    83.726,    18.881
        27,        10,    46.636,    11.570
        27,        11,     2.003,     1.715
        27,        12,     0.009,     0.009
        28,         1,     3.409,     3.369
        28,         2,     2.050,     2.050
        28,         3,     2.231,     1.846
        28,         4,    24.113,     6.745
        28,         5,    92.277,    15.252
        28,         6,   109.375,    16.321
