ID,BASINID,lat,long,veg
1,1,31.1785,102.5177,10
2,2,31.1885,102.5177,10
3,3,31.1985,102.5177,10
4,4,31.2085,102.5177,10
5,5,31.2185,102.5177,5
6,6,31.2285,102.5177,5
7,7,31.2385,102.5177,5
8,8,31.2485,102.5177,5
9,9,31.2585,102.5177,5
10,10,31.2685,102.5177,5
11,11,31.2785,102.5177,5
12,12,31.2885,102.5177,5
13,13,31.2985,102.5177,5
14,14,31.3085,102.5177,5
15,15,31.3185,102.5177,5
16,16,31.3285,102.5177,5
17,17,31.3385,102.5177,5
18,18,31.3485,102.5177,5
19,19,31.3585,102.5177,12
20,20,31.3685,102.5177,5
21,21,31.3785,102.5177,10
22,22,31.3885,102.5177,5
23,23,31.3985,102.5177,5
24,24,31.4085,102.5177,5
25,25,31.4185,102.5177,5
26,26,31.4285,102.5177,5
27,27,31.4385,102.5177,10
28,28,31.4485,102.5177,5
29,29,31.4585,102.5177,10
30,30,31.4685,102.5177,5
31,31,31.4785,102.5177,5
32,32,31.4885,102.5177,5
33,33,31.4985,102.5177,5
34,34,31.5085,102.5177,5
35,35,31.5185,102.5177,5
36,36,31.5285,102.5177,10
37,37,31.5385,102.5177,10
38,38,31.5485,102.5177,10
39,39,31.5585,102.5177,10
40,40,31.5685,102.5177,10
41,41,31.5785,102.5177,10
42,42,31.5885,102.5177,10
43,43,31.5985,102.5177,10
44,44,31.6085,102.5177,10
45,45,31.6185,102.5177,10
46,46,31.6285,102.5177,10
47,47,31.6385,102.5177,10
48,48,31.6485,102.5177,4
49,49,31.6585,102.5177,10
50,50,31.6685,102.5177,10
51,51,31.6785,102.5177,5
52,52,31.6885,102.5177,10
53,53,31.6985,102.5177,10
54,54,31.7085,102.5177,10
55,55,31.7185,102.5177,10
56,56,31.7285,102.5177,10
57,57,31.7385,102.5177,5
58,58,31.7485,102.5177,5
59,59,31.7585,102.5177,5
60,60,31.7685,102.5177,5
61,61,31.7785,102.5177,5
62,62,31.7885,102.5177,10
63,63,31.7985,102.5177,5
64,64,31.8085,102.5177,5
65,65,31.8185,102.5177,5
66,66,31.8285,102.5177,5
67,67,31.8385,102.5177,10
68,68,31.8485,102.5177,5
69,69,31.8585,102.5177,5
70,70,31.8685,102.5177,5
71,71,31.8785,102.5177,5
72,72,31.8885,102.5177,5
73,73,31.8985,102.5177,5
74,74,31.9085,102.5177,5
75,75,31.9185,102.5177,10
76,76,31.9285,102.5177,14
77,77,31.1785,102.5277,5
78,78,31.1885,102.5277,5
79,79,31.1985,102.5277,10
80,80,31.2085,102.5277,10
81,81,31.2185,102.5277,10
82,82,31.2285,102.5277,10
83,83,31.2385,102.5277,10
84,84,31.2485,102.5277,5
85,85,31.2585,102.5277,10
86,86,31.2685,102.5277,10
87,87,31.2785,102.5277,5
88,88,31.2885,102.5277,5
89,89,31.2985,102.5277,5
90,90,31.3085,102.5277,5
91,91,31.3185,102.5277,5
92,92,31.3285,102.5277,5
93,93,31.3385,102.5277,5
94,94,31.3485,102.5277,5
95,95,31.3585,102.5277,14
96,96,31.3685,102.5277,5
97,97,31.3785,102.5277,5
98,98,31.3885,102.5277,5
99,99,31.3985,102.5277,5
100,100,31.4085,102.5277,5
101,101,31.4185,102.5277,5
102,102,31.4285,102.5277,5
103,103,31.4385,102.5277,5
104,104,31.4485,102.5277,10
105,105,31.4585,102.5277,10
106,106,31.4685,102.5277,14
107,107,31.4785,102.5277,5
108,108,31.4885,102.5277,5
109,109,31.4985,102.5277,5
110,110,31.5085,102.5277,5
111,111,31.5185,102.5277,5
112,112,31.5285,102.5277,10
113,113,31.5385,102.5277,10
114,114,31.5485,102.5277,10
115,115,31.5585,102.5277,10
116,116,31.5685,102.5277,10
117,117,31.5785,102.5277,10
118,118,31.5885,102.5277,10
119,119,31.5985,102.5277,10
120,120,31.6085,102.5277,16
121,121,31.6185,102.5277,10
122,122,31.6285,102.5277,10
123,123,31.6385,102.5277,10
124,124,31.6485,102.5277,10
125,125,31.6585,102.5277,10
126,126,31.6685,102.5277,4
127,127,31.6785,102.5277,4
128,128,31.6885,102.5277,4
129,129,31.6985,102.5277,10
130,130,31.7085,102.5277,10
131,131,31.7185,102.5277,10
132,132,31.7285,102.5277,10
133,133,31.7385,102.5277,5
134,134,31.7485,102.5277,5
135,135,31.7585,102.5277,5
136,136,31.7685,102.5277,5
137,137,31.7785,102.5277,5
138,138,31.7885,102.5277,5
139,139,31.7985,102.5277,5
140,140,31.8085,102.5277,10
141,141,31.8185,102.5277,5
142,142,31.8285,102.5277,5
143,143,31.8385,102.5277,5
144,144,31.8485,102.5277,5
145,145,31.8585,102.5277,5
146,146,31.8685,102.5277,5
147,147,31.8785,102.5277,5
148,148,31.8885,102.5277,4
149,149,31.8985,102.5277,5
150,150,31.9085,102.5277,5
151,151,31.9185,102.5277,5
152,152,31.9285,102.5277,5
153,153,31.1785,102.5377,5
154,154,31.1885,102.5377,10
155,155,31.1985,102.5377,5
156,156,31.2085,102.5377,5
157,157,31.2185,102.5377,10
158,158,31.2285,102.5377,10
159,159,31.2385,102.5377,7
160,160,31.2485,102.5377,10
161,161,31.2585,102.5377,10
162,162,31.2685,102.5377,10
163,163,31.2785,102.5377,10
164,164,31.2885,102.5377,5
165,165,31.2985,102.5377,10
166,166,31.3085,102.5377,5
167,167,31.3185,102.5377,5
168,168,31.3285,102.5377,5
169,169,31.3385,102.5377,5
170,170,31.3485,102.5377,5
171,171,31.3585,102.5377,10
172,172,31.3685,102.5377,5
173,173,31.3785,102.5377,5
174,174,31.3885,102.5377,5
175,175,31.3985,102.5377,5
176,176,31.4085,102.5377,5
177,177,31.4185,102.5377,5
178,178,31.4285,102.5377,10
179,179,31.4385,102.5377,5
180,180,31.4485,102.5377,10
181,181,31.4585,102.5377,10
182,182,31.4685,102.5377,10
183,183,31.4785,102.5377,10
184,184,31.4885,102.5377,5
185,185,31.4985,102.5377,5
186,186,31.5085,102.5377,5
187,187,31.5185,102.5377,5
188,188,31.5285,102.5377,10
