ID,BasinID,Area_m2,lat,long,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,VEG_6,VEG_7,VEG_8,VEG_9,VEG_10
1,1,251550525.6,31.8048,102.731,0.01,0.01,0.27,0.02,0.10,0.01,0.48,0.00,0.11,0.00
2,2,146169423.1,31.6594,102.67,0.00,0.00,0.25,0.01,0.14,0.04,0.50,0.00,0.08,0.00
3,3,20031357.04,31.669,102.771,0.00,0.00,0.91,0.00,0.09,0.00,0.00,0.00,0.00,0.00
4,4,221763565.3,31.7918,102.838,0.01,0.00,0.21,0.00,0.08,0.04,0.55,0.00,0.11,0.00
5,5,89187134.98,31.6379,102.839,0.03,0.00,0.54,0.00,0.09,0.02,0.33,0.00,0.00,0.00
6,6,82465827.27,31.6065,102.726,0.00,0.00,0.33,0.00,0.14,0.02,0.49,0.00,0.03,0.00
7,7,132736762.7,31.5239,102.727,0.00,0.00,0.30,0.00,0.15,0.02,0.51,0.00,0.02,0.00
8,8,49764036.68,31.564,102.834,0.00,0.00,0.61,0.00,0.20,0.00,0.19,0.00,0.00,0.00
9,9,149106054,31.472,102.795,0.00,0.00,0.37,0.00,0.04,0.00,0.57,0.00,0.02,0.00
10,10,84374897.85,31.5031,102.902,0.00,0.00,0.50,0.04,0.12,0.00,0.25,0.00,0.09,0.00
11,11,195895570.2,31.6169,102.939,0.00,0.00,0.28,0.00,0.10,0.04,0.42,0.01,0.15,0.00
12,12,127912327.3,31.4804,103.01,0.00,0.00,0.28,0.17,0.10,0.02,0.38,0.00,0.05,0.00
13,13,139781059.2,31.3867,102.785,0.00,0.00,0.32,0.00,0.05,0.02,0.55,0.00,0.06,0.00
14,14,87889374.15,31.3193,102.815,0.00,0.00,0.33,0.00,0.03,0.04,0.51,0.00,0.09,0.00
15,15,47621392.47,31.4096,102.906,0.00,0.00,0.50,0.00,0.03,0.00,0.36,0.00,0.11,0.00
16,16,81154948.77,31.3218,102.886,0.00,0.00,0.36,0.00,0.11,0.00,0.50,0.00,0.04,0.00
17,17,25652672.65,31.4261,102.96,0.00,0.00,0.60,0.00,0.08,0.00,0.32,0.00,0.00,0.00
18,18,171145661.4,31.2882,102.925,0.00,0.02,0.18,0.13,0.07,0.07,0.44,0.00,0.10,0.00
19,19,59614699.52,31.3815,103.024,0.00,0.00,0.24,0.22,0.27,0.02,0.23,0.00,0.00,0.03
20,20,96872669.19,31.3309,103.077,0.00,0.00,0.29,0.00,0.10,0.03,0.54,0.00,0.00,0.04
21,21,112542401.3,31.3706,103.147,0.00,0.00,0.39,0.00,0.18,0.09,0.34,0.00,0.00,0.01
22,22,66044073.32,31.473,103.086,0.02,0.00,0.22,0.00,0.24,0.08,0.43,0.00,0.00,0.00
