BasinID,YEAR,MONTH,Ppt_mm,Tavg_C
1,1951,1,0,-7.66196
1,1951,2,5.50733,-5.98565
1,1951,3,1.90275,-4.77764
1,1951,4,16.236,-3.30027
1,1951,5,49.1326,2.90826
1,1951,6,84.9277,6.26136
1,1951,7,178.878,7.10303
1,1951,8,122.06,7.94914
1,1951,9,110.435,4.12482
1,1951,10,40.8129,1.7659
1,1951,11,35.0937,-3.69015
1,1951,12,0,-5.3552
1,1952,1,0.127926,-5.16669
1,1952,2,0.00455917,-1.17608
1,1952,3,0.0197171,0.698538
1,1952,4,35.6132,3.96164
1,1952,5,95.3978,5.44417
1,1952,6,189.913,6.99994
1,1952,7,54.673,9.41066
1,1952,8,182.486,7.61372
1,1952,9,87.6968,5.90082
1,1952,10,62.471,2.4538
1,1952,11,0,0.791558
1,1952,12,0.000408636,-4.37993
1,1953,1,2.11932,-4.92305
1,1953,2,0.450901,-1.85088
1,1953,3,10.4296,0.805535
1,1953,4,69.1953,-0.20484
1,1953,5,85.6312,4.21394
1,1953,6,149.187,6.21344
1,1953,7,206.425,7.33616
1,1953,8,116.645,9.92316
1,1953,9,113.842,4.84955
1,1953,10,26.4149,2.44604
1,1953,11,0.0373844,-1.43764
1,1953,12,0.509015,-3.53415
1,1954,1,2.31203,-3.61661
1,1954,2,5.34622,-0.759601
1,1954,3,7.63971,-3.25019
1,1954,4,55.593,2.39813
1,1954,5,109.806,3.48944
1,1954,6,166.569,6.07013
1,1954,7,152.867,7.9211
1,1954,8,150.548,6.82902
1,1954,9,177.91,5.06838
1,1954,10,45.7694,0.951732
1,1954,11,0.236983,-0.952638
1,1954,12,2.3389,-7.8127
1,1955,1,0.658769,-8.11981
1,1955,2,2.61077,-3.9577
1,1955,3,16.6399,-0.400802
1,1955,4,22.0808,0.244597
1,1955,5,53.6704,2.93424
1,1955,6,121.719,5.15256
1,1955,7,147.582,7.97965
1,1955,8,97.9135,8.39806
1,1955,9,150.299,6.84364
1,1955,10,49.655,2.36399
1,1955,11,6.81858,-2.8378
1,1955,12,1.18677,-4.39605
1,1956,1,0.112016,-6.82577
1,1956,2,5.98562,-4.06227
1,1956,3,13.2899,-0.169693
1,1956,4,27.8771,1.8423
1,1956,5,58.709,3.14362
1,1956,6,215.546,6.68635
1,1956,7,179.569,6.59214
1,1956,8,140.051,5.8549
1,1956,9,146.289,4.31908
1,1956,10,62.7055,0.353857
1,1956,11,5.80633,-3.43654
1,1956,12,5.06868,-7.73294
1,1957,1,0.531363,-6.14426
1,1957,2,0.470834,-9.29227
1,1957,3,10.7282,-3.17632
1,1957,4,27.9405,0.417919
1,1957,5,124.189,1.75172
1,1957,6,153.084,4.13266
1,1957,7,129.002,7.85995
1,1957,8,109.048,7.18422
1,1957,9,97.5668,4.25318
1,1957,10,26.7976,-1.51935
1,1957,11,4.49338,-3.95595
1,1957,12,0.151751,-7.68834
1,1958,1,1.89324,-8.09502
1,1958,2,1.3773,-8.61058
1,1958,3,1.71797,-1.33136
1,1958,4,39.6243,1.72595
1,1958,5,83.1266,2.8146
1,1958,6,188.634,6.1091
1,1958,7,79.3791,8.64242
1,1958,8,159.021,6.92458
1,1958,9,163.144,4.48715
1,1958,10,75.9418,-0.00583672
1,1958,11,2.79494,-3.95405
1,1958,12,1.19865,-7.44627
1,1959,1,3.57509,-8.65919
1,1959,2,9.08712,-8.41227
1,1959,3,8.55496,-3.52052
1,1959,4,29.6783,0.441978
1,1959,5,82.415,2.82347
1,1959,6,112.529,5.11489
1,1959,7,216.051,8.76721
1,1959,8,176.064,8.39647
1,1959,9,102.765,2.40911
1,1959,10,56.4444,0.0265781
1,1959,11,10.2954,-3.16859
1,1959,12,2.31142,-6.85447
1,1960,1,1.91066,-7.69636
1,1960,2,7.1896,-4.87978
1,1960,3,11.0409,-1.16283
1,1960,4,17.5717,-0.369387
1,1960,5,109.528,2.76538
1,1960,6,171.484,5.0851
1,1960,7,184.667,7.01827
1,1960,8,254.595,6.64103
1,1960,9,147.783,4.78582
1,1960,10,54.1636,0.3307
1,1960,11,13.1262,-3.6486
1,1960,12,0.162896,-7.26
1,1961,1,4.54598,-9.11005
1,1961,2,6.61544,-7.42236
1,1961,3,17.8389,-5.05736
1,1961,4,62.5778,-0.679155
1,1961,5,91.4706,2.37559
1,1961,6,204.177,6.3902
1,1961,7,249.207,8.5877
1,1961,8,267.94,8.43367
1,1961,9,104.911,4.437
1,1961,10,60.1339,3.03951
1,1961,11,12.0974,-4.56298
1,1961,12,1.93003,-9.4346
1,1962,1,3.60798,-10.7797
1,1962,2,8.05634,-6.02915
1,1962,3,8.35918,-5.30689
1,1962,4,47.5421,0.329535
1,1962,5,105.105,1.86516
1,1962,6,101.452,4.66053
1,1962,7,278.314,8.1825
1,1962,8,186.526,5.95154
1,1962,9,126.523,4.19032
1,1962,10,69.4771,1.1964
1,1962,11,4.60575,-4.55457
1,1962,12,4.09602,-7.18083
1,1963,1,0.507899,-11.3966
1,1963,2,6.93659,-8.9817
1,1963,3,19.0194,-4.1422
1,1963,4,46.9726,0.917896
1,1963,5,84.7222,4.27126
1,1963,6,177.015,3.83787
1,1963,7,218.485,7.19339
1,1963,8,209.731,7.21135
1,1963,9,173.204,6.31357
1,1963,10,62.0531,-0.627789
1,1963,11,12.6417,-5.45551
1,1963,12,3.31755,-8.98354
1,1964,1,2.99759,-9.90505
1,1964,2,16.0632,-8.14058
1,1964,3,6.52704,-3.54131
1,1964,4,34.2795,1.68271
1,1964,5,61.8924,4.34782
1,1964,6,176.097,4.43914
1,1964,7,176.063,8.04967
1,1964,8,181.395,6.83506
1,1964,9,196.923,5.50542
1,1964,10,53.9445,2.50993
1,1964,11,6.47428,-3.84608
1,1964,12,4.19013,-8.66112
1,1965,1,0.443919,-8.25207
1,1965,2,4.03366,-6.62426
1,1965,3,16.1952,-5.20976
1,1965,4,41.9421,0.0771307
1,1965,5,49.871,2.92967
1,1965,6,177.119,4.11318
1,1965,7,159.724,6.62459
1,1965,8,132.06,4.88952
1,1965,9,104.82,3.38713
1,1965,10,53.8856,0.354848
1,1965,11,5.98407,-5.13781
1,1965,12,2.37841,-8.26597
1,1966,1,2.56864,-7.98738
1,1966,2,6.17581,-6.49216
1,1966,3,23.2067,-2.34224
1,1966,4,49.6227,-0.0256079
1,1966,5,76.183,2.66625
1,1966,6,117.577,4.28538
1,1966,7,239.894,8.14105
1,1966,8,208.614,7.55794
1,1966,9,159.796,3.38084
1,1966,10,42.7792,-0.0275114
1,1966,11,13.0573,-4.1022
1,1966,12,4.59352,-6.79705
1,1967,1,2.74077,-8.9749
1,1967,2,5.22701,-8.42586
1,1967,3,7.28046,-3.96233
1,1967,4,30.513,-1.12092
1,1967,5,104.243,3.93199
1,1967,6,186.193,4.72074
1,1967,7,177.068,7.76084
1,1967,8,166.376,8.71244
1,1967,9,205.28,4.33414
1,1967,10,71.8602,-0.59659
1,1967,11,9.50748,-4.86621
1,1967,12,1.81376,-9.274
1,1968,1,6.24011,-9.23046
1,1968,2,12.6174,-10.7368
1,1968,3,20.3615,-3.91998
1,1968,4,34.3997,-0.69015
1,1968,5,93.8656,2.67682
1,1968,6,148.908,4.1806
1,1968,7,115.233,6.81516
1,1968,8,232.704,6.66444
1,1968,9,152.626,5.36045
1,1968,10,13.9398,1.17045
1,1968,11,7.34461,-3.02484
1,1968,12,0.172035,-6.70574
1,1969,1,4.9624,-7.98404
1,1969,2,0.916118,-5.80405
1,1969,3,5.08753,-1.37661
1,1969,4,36.0318,1.41841
1,1969,5,97.4637,5.00392
1,1969,6,147.692,4.97803
1,1969,7,178.814,7.67316
1,1969,8,115.454,6.96511
1,1969,9,125.793,4.49901
1,1969,10,37.8781,0.869121
1,1969,11,8.24879,-4.94787
1,1969,12,0.0433525,-7.34763
1,1970,1,5.20108,-9.38
1,1970,2,9.37183,-7.17917
1,1970,3,26.2813,-5.57404
1,1970,4,52.9934,-1.11791
1,1970,5,87.0931,3.64216
1,1970,6,113.574,4.89218
1,1970,7,192.584,8.14622
1,1970,8,177.959,8.33658
1,1970,9,137.689,4.8359
1,1970,10,43.1495,-0.257993
1,1970,11,7.6445,-3.44015
1,1970,12,2.82662,-6.4873
1,1971,1,4.35512,-9.48596
1,1971,2,4.62938,-7.36464
1,1971,3,3.25637,-2.01151
1,1971,4,58.6373,1.35873
1,1971,5,84.3022,2.12645
1,1971,6,164.654,5.74199
1,1971,7,148.775,8.49342
1,1971,8,112.715,6.84439
1,1971,9,208.897,4.85215
1,1971,10,71.1056,0.512258
1,1971,11,3.94829,-4.49226
1,1971,12,0.148276,-8.58026
1,1972,1,3.87679,-6.79996
1,1972,2,8.05934,-7.43523
1,1972,3,16.3826,-1.80836
1,1972,4,35.0701,-0.71367
1,1972,5,120.897,3.87918
1,1972,6,150.499,5.88887
1,1972,7,265.638,8.42815
1,1972,8,103.139,8.48496
1,1972,9,131.051,3.61633
1,1972,10,38.3543,0.776027
1,1972,11,8.89305,-4.39491
1,1972,12,0.194064,-6.74221
1,1973,1,7.72262,-7.03807
1,1973,2,6.77849,-4.81091
1,1973,3,6.34662,-1.86113
1,1973,4,46.5956,0.844989
1,1973,5,135.664,3.26412
1,1973,6,240.913,4.86511
1,1973,7,153.977,7.56475
1,1973,8,165.501,7.64392
1,1973,9,119.889,4.71232
1,1973,10,68.4234,1.2429
1,1973,11,18.1564,-3.89994
1,1973,12,4.17688,-7.29185
1,1974,1,0.667387,-7.99692
1,1974,2,2.97218,-7.28518
1,1974,3,19.174,-4.58834
1,1974,4,24.3447,0.182897
1,1974,5,107.665,3.63967
1,1974,6,132.483,5.22204
1,1974,7,177.1,6.46255
1,1974,8,126.815,6.17615
1,1974,9,166.633,4.33655
1,1974,10,72.6812,2.42382
1,1974,11,7.59244,-1.96437
1,1974,12,2.2622,-6.25542
1,1975,1,6.87454,-8.51794
1,1975,2,3.76811,-5.81598
1,1975,3,18.8285,-3.19205
1,1975,4,54.6074,-0.368209
1,1975,5,67.2037,2.69017
1,1975,6,175.118,6.01134
1,1975,7,226.941,7.79491
1,1975,8,164,7.77713
1,1975,9,265.773,6.22857
1,1975,10,77.0144,1.97372
1,1975,11,8.48037,-4.42773
1,1975,12,4.66837,-8.0312
1,1976,1,1.53876,-7.08399
1,1976,2,3.32021,-5.08392
1,1976,3,16.6741,-3.92209
1,1976,4,42.3959,-0.381922
1,1976,5,156.782,2.14917
1,1976,6,142.935,4.89791
1,1976,7,179.611,6.09592
1,1976,8,216.209,7.35488
1,1976,9,150.139,3.58
1,1976,10,60.421,0.325746
1,1976,11,18.5782,-6.25426
1,1976,12,3.2172,-7.91081
1,1977,1,5.61558,-7.99795
1,1977,2,2.6113,-7.44419
1,1977,3,51.4068,-4.22198
1,1977,4,50.0043,-0.532588
1,1977,5,82.1806,1.78761
1,1977,6,146.935,5.19121
1,1977,7,202.839,7.57473
1,1977,8,72.9643,6.53371
1,1977,9,140.18,5.00164
1,1977,10,31.0577,0.03093
1,1977,11,6.24403,-6.48483
1,1977,12,4.56845,-8.03749
1,1978,1,0.640355,-9.2927
1,1978,2,7.45566,-6.35493
1,1978,3,17.3585,-3.7732
1,1978,4,54.2103,-0.22558
1,1978,5,102.218,2.91072
1,1978,6,134.028,5.20302
1,1978,7,305.547,6.78437
1,1978,8,173.397,7.87084
1,1978,9,222.389,4.06979
1,1978,10,55.3535,1.20437
1,1978,11,28.8222,-4.56257
1,1978,12,0.244375,-6.00834
1,1979,1,0.125965,-7.72592
1,1979,2,0.143175,-5.70363
1,1979,3,0.179665,-3.55053
1,1979,4,13.8258,1.73683
1,1979,5,72.6829,4.49929
1,1979,6,151.849,5.79085
1,1979,7,182.516,8.71724
1,1979,8,188.888,9.6681
1,1979,9,114.602,3.48053
1,1979,10,18.7046,-0.854587
1,1979,11,1.05524,-4.08093
1,1979,12,0.427239,-6.50958
1,1980,1,3.34451,-7.66106
1,1980,2,12.1298,-6.07841
1,1980,3,28.9024,-2.33952
1,1980,4,59.1142,1.64654
1,1980,5,124.101,3.90775
1,1980,6,233.663,5.63861
1,1980,7,206.068,6.80019
1,1980,8,174.237,5.95031
1,1980,9,202.086,3.69278
1,1980,10,74.1648,-0.147928
1,1980,11,5.1938,-2.52902
1,1980,12,1.18425,-7.25778
1,1981,1,2.15313,-7.20505
1,1981,2,6.61731,-3.87644
1,1981,3,21.1809,-3.37102
1,1981,4,62.169,0.240562
1,1981,5,129.683,2.60095
1,1981,6,252.416,6.10314
1,1981,7,224.453,7.9147
1,1981,8,265.602,8.135
1,1981,9,191.859,4.16224
1,1981,10,47.7822,0.717619
1,1981,11,7.4655,-4.74109
1,1981,12,7.77627,-7.6591
1,1982,1,5.03386,-6.86631
1,1982,2,13.7721,-6.85916
1,1982,3,21.942,-2.47588
1,1982,4,72.5432,-2.17053
1,1982,5,103.712,2.51791
1,1982,6,166.639,4.24131
1,1982,7,198.108,6.7554
1,1982,8,160.621,6.8479
1,1982,9,159.89,4.24235
1,1982,10,79.7031,0.696981
1,1982,11,28.8575,-4.64942
1,1982,12,9.67894,-9.70322
1,1983,1,6.97239,-10.1268
1,1983,2,11.9938,-8.87602
1,1983,3,25.4525,-5.52449
1,1983,4,43.246,-1.29922
1,1983,5,78.0863,4.02815
1,1983,6,197.256,5.48323
1,1983,7,234.924,7.35363
1,1983,8,160.68,6.22696
1,1983,9,135.624,5.07605
1,1983,10,74.7212,2.24263
1,1983,11,14.7692,-4.0685
1,1983,12,7.93436,-8.11255
1,1984,1,14.0481,-10.2622
1,1984,2,7.68368,-5.52021
1,1984,3,22.3017,-2.83286
1,1984,4,50.6467,0.951714
1,1984,5,151.334,2.20292
1,1984,6,182.838,6.74808
1,1984,7,251.013,7.21326
1,1984,8,176.466,6.05121
1,1984,9,156.125,4.15577
1,1984,10,59.7484,0.952194
1,1984,11,13.7473,-3.47395
1,1984,12,4.32326,-6.86706
1,1985,1,7.20822,-8.35171
1,1985,2,9.69377,-6.80176
1,1985,3,47.2949,-4.58694
1,1985,4,63.7287,-0.288304
1,1985,5,130.674,4.24614
1,1985,6,139.043,5.18737
1,1985,7,180.73,6.69228
1,1985,8,208.908,7.73171
1,1985,9,168.745,4.33562
1,1985,10,43.4383,1.56586
1,1985,11,15.5662,-5.77468
1,1985,12,6.69176,-7.63004
1,1986,1,6.96346,-8.01723
1,1986,2,15.3674,-7.28921
1,1986,3,22.7001,-4.20266
1,1986,4,42.6623,-0.682944
1,1986,5,92.8225,3.91679
1,1986,6,190.148,6.39344
1,1986,7,169.033,7.04791
1,1986,8,163.7,6.08761
1,1986,9,140.411,2.96984
1,1986,10,44.6495,-0.51043
1,1986,11,10.911,-4.28258
1,1986,12,7.09233,-5.87862
1,1987,1,5.11216,-6.81832
1,1987,2,4.79725,-4.17965
1,1987,3,26.0303,-1.46087
1,1987,4,45.7072,0.148558
1,1987,5,84.6158,3.61883
1,1987,6,217.741,7.3171
1,1987,7,181.601,6.90263
1,1987,8,136.269,6.08691
1,1987,9,136.83,3.75752
1,1987,10,45.5283,1.57731
1,1987,11,28.0121,-2.56345
1,1987,12,6.10883,-7.18043
1,1988,1,10.1441,-7.10963
1,1988,2,7.29188,-4.69498
1,1988,3,41.1283,-3.97414
1,1988,4,50.0333,-0.916344
1,1988,5,108.96,4.08601
1,1988,6,157.266,6.45238
1,1988,7,229.919,7.74399
1,1988,8,171.563,7.16626
1,1988,9,146.02,3.61628
1,1988,10,76.7375,1.8789
1,1988,11,14.9733,-3.73727
1,1988,12,2.29599,-6.16702
1,1989,1,14.1641,-9.75721
1,1989,2,9.32022,-6.74817
1,1989,3,24.4644,-3.33258
1,1989,4,92.4855,-1.63847
1,1989,5,122.223,2.18804
1,1989,6,192.565,6.27866
1,1989,7,162.503,7.71692
1,1989,8,204.798,6.9937
1,1989,9,141.044,5.5508
1,1989,10,75.1189,0.906174
1,1989,11,26.0288,-4.47175
1,1989,12,3.57417,-8.39769
1,1990,1,5.98298,-6.84414
1,1990,2,20.883,-5.40932
1,1990,3,22.4549,-3.47072
1,1990,4,77.7025,-0.785238
1,1990,5,124.199,1.9183
1,1990,6,159.838,5.50577
1,1990,7,200.104,7.31337
1,1990,8,263.54,6.90902
1,1990,9,198.748,4.08721
1,1990,10,71.1394,0.353624
1,1990,11,25.4849,-2.72555
1,1990,12,3.04067,-6.41073
1,1991,1,11.8095,-8.94413
1,1991,2,10.0416,-5.18973
1,1991,3,28.8527,-1.37695
1,1991,4,67.2349,0.189855
1,1991,5,72.7707,3.3512
1,1991,6,153.532,6.63861
1,1991,7,134.595,8.72642
1,1991,8,169.463,7.67892
1,1991,9,153.197,4.46856
1,1991,10,81.981,0.316942
1,1991,11,23.3934,-4.58543
1,1991,12,9.92857,-7.06762
1,1992,1,1.71883,-8.89489
1,1992,2,15.5317,-8.80546
1,1992,3,28.5052,-3.49805
1,1992,4,50.0596,0.683254
1,1992,5,110.499,2.74724
1,1992,6,228.92,5.9851
1,1992,7,194.559,6.78356
1,1992,8,166.023,6.86303
1,1992,9,157.116,5.43801
1,1992,10,63.1239,-0.325163
1,1992,11,10.5629,-4.2527
1,1992,12,3.82652,-7.33957
1,1993,1,10.9266,-10.0645
1,1993,2,5.39417,-4.43981
1,1993,3,27.0106,-2.70966
1,1993,4,55.0006,0.394062
1,1993,5,113.159,3.61318
1,1993,6,153.586,5.67541
1,1993,7,226.567,7.62183
1,1993,8,200.589,7.05758
1,1993,9,148.766,4.19283
1,1993,10,105.81,-0.153491
1,1993,11,12.575,-1.98911
1,1993,12,7.6487,-6.48196
1,1994,1,7.35415,-6.36563
1,1994,2,7.28569,-5.32288
1,1994,3,39.3501,-4.024
1,1994,4,64.1469,1.24031
1,1994,5,89.8978,3.82972
1,1994,6,228.777,6.09497
1,1994,7,111.3,7.62833
1,1994,8,126.395,8.54286
1,1994,9,186.945,5.60609
1,1994,10,74.1717,0.274222
1,1994,11,13.7314,-2.34608
1,1994,12,11.876,-7.42534
1,1995,1,7.1457,-8.63647
1,1995,2,13.9206,-7.95724
1,1995,3,30.7197,-3.71073
1,1995,4,69.0864,-0.71235
1,1995,5,124.163,4.08166
1,1995,6,141.595,6.61798
1,1995,7,164.752,7.77299
1,1995,8,206.888,7.45616
1,1995,9,103.944,5.73289
1,1995,10,86.3245,1.5248
1,1995,11,22.0354,-3.11337
1,1995,12,10.6198,-7.40509
1,1996,1,7.20731,-8.53375
1,1996,2,15.4606,-6.42208
