Cell,Year,Month,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,VEG_6,VEG_7,VEG_8,VEG_9,VEG_10
1,2000,1,0.525,0.133333,0.486688,0.85,0.277174,0.1,0.146599,0,0.0485294,0
1,2000,2,0.625,0.191667,0.572727,0.883333,0.315217,0.15,0.17602,0,0.0705882,0
1,2000,3,0.625,0.108333,0.476948,0.625,0.171739,0.05,0.0908163,0,0.00808824,0
1,2000,4,0.7,0.0666667,0.561472,0.622222,0.2,0.0333333,0.0918367,0,0.00294118,0
1,2000,5,0.975,0.608333,0.809416,1.25833,0.430435,0.275,0.242007,0,0.0352941,0
1,2000,6,0.8875,0.358333,1.08701,1.425,0.557609,0.575,0.469388,0,0.165441,0
1,2000,7,3.825,3.68333,3.16851,4.025,2.04239,1.875,1.55051,0,0.638235,0
1,2000,8,2.675,1.04167,2.31688,2.825,1.5337,1.15,1.09745,0,0.492647,0
1,2000,9,1.8625,1.23333,1.65357,1.76667,1.21196,0.725,0.833333,0,0.365441,0
1,2000,10,1,0.877778,1.15844,1.47778,0.75942,0.533333,0.504762,0,0.196078,0
1,2000,11,0.575,0.508333,0.657468,0.95,0.4,0.225,0.221088,0,0.0610294,0
1,2000,12,0.475,0.358333,0.518831,0.8,0.303261,0.1,0.160544,0,0.0477941,0
1,2001,1,0.65,0.233333,0.465079,0.491667,0.244792,0.15,0.164865,0,0.12,0
1,2001,2,0.7,0.288889,0.460847,0.5,0.25,0.15,0.161862,0,0.114667,0
1,2001,3,0.6875,0.425,0.484524,0.525,0.278125,0.2375,0.192793,0,0.121,0
1,2001,4,1.0125,0.683333,0.710317,0.85,0.427083,0.2875,0.287613,0,0.205,0
1,2001,5,2.4125,1.71667,1.67103,2.15,0.984375,0.6,0.604504,0,0.358,0
1,2001,6,4.425,3.325,3.23056,4,2.08542,1.3375,1.32365,0,0.713,0
1,2001,7,4.9375,3.99167,3.88175,4.525,2.89688,2.1125,2.05946,0,1.057,0
1,2001,8,4.55,3.54167,3.70357,4.16667,2.89167,2.0875,2.08581,0,1.068,0
1,2001,9,3.25,2.10833,2.51468,2.975,1.75417,1.1625,1.21712,0,0.666,0
1,2001,10,1.58333,1.18889,1.26085,1.52222,0.826389,0.566667,0.584384,0,0.372,0
1,2001,11,1.0125,0.95,0.849206,1,0.54375,0.2875,0.364189,0,0.228,0
1,2001,12,0.7375,0.55,0.611905,0.666667,0.357292,0.15,0.22455,0,0.133,0
1,2002,1,0.65,0.441667,0.531746,0.541667,0.294792,0.15,0.19482,0,0.114,0
1,2002,2,0.65,0.488889,0.539153,0.533333,0.3125,0.116667,0.196096,0,0.105333,0
1,2002,3,0.675,0.5,0.555952,0.591667,0.325,0.15,0.217117,0,0.111,0
1,2002,4,0.925,0.733333,0.698016,0.841667,0.423958,0.225,0.277703,0,0.158,0
1,2002,5,2.0625,1.8,1.47698,1.76667,0.905208,0.425,0.59482,0,0.337,0
1,2002,6,3.9625,3.64167,3.025,3.85,2.05104,1.1625,1.4536,0,0.774,0
1,2002,7,4.525,4.26667,3.72857,4.56667,2.85625,2.0125,2.1955,0,1.178,0
1,2002,8,4.0875,3.71667,3.32222,3.93333,2.55,1.775,1.98739,0,1.094,0
1,2002,9,2.7125,2.01667,1.9623,2.375,1.39479,0.8625,1.04437,0,0.615,0
1,2002,10,1.53333,1.04444,0.988889,1.11111,0.665278,0.35,0.462763,0,0.286667,0
1,2002,11,1.1125,0.758333,0.705556,0.708333,0.442708,0.225,0.305856,0,0.173,0
1,2002,12,0.7375,0.475,0.45,0.458333,0.3,0.15,0.193694,0,0.111,0
1,2003,1,0.7125,0.45,0.406746,0.4,0.247917,0.15,0.167117,0,0.098,0
1,2003,2,0.766667,0.455556,0.419577,0.455556,0.259722,0.15,0.170871,0,0.096,0
1,2003,3,0.8,0.458333,0.461111,0.525,0.313542,0.15,0.2,0,0.101,0
1,2003,4,1.15,0.75,0.751587,0.85,0.490625,0.275,0.318243,0,0.186,0
1,2003,5,2.55,1.76667,1.76468,2.04167,1.09688,0.375,0.717117,0,0.342,0
1,2003,6,4.2,3.4,3.16071,3.76667,2.26563,0.5,1.48063,0,0.63,0
1,2003,7,4.575,4.1,3.72183,4.4,3.09688,0.65,2.12252,0,0.989,0
1,2003,8,4.225,3.79167,3.46468,4.125,2.96667,0.8375,2.11261,0,1.091,0
1,2003,9,2.975,2.26667,2.27698,2.88333,1.74688,0.7,1.24414,0,0.688,0
1,2003,10,1.35,1.03333,1.08519,1.5,0.756944,0.416667,0.56997,0,0.336,0
1,2003,11,0.85,0.666667,0.692063,0.9,0.471875,0.275,0.338739,0,0.189,0
1,2003,12,0.6,0.541667,0.511508,0.583333,0.353125,0.2,0.236486,0,0.136,0
1,2004,1,0.475,0.516667,0.454365,0.483333,0.297917,0.15,0.215541,0,0.117,0
1,2004,2,0.466667,0.488889,0.440741,0.477778,0.2875,0.15,0.20991,0,0.112,0
1,2004,3,0.5,0.466667,0.44246,0.583333,0.319792,0.2125,0.229279,0,0.132,0
1,2004,4,0.6875,0.566667,0.559524,0.741667,0.392708,0.2375,0.286712,0,0.175,0
1,2004,5,1.6875,1.425,1.29484,1.64167,0.820833,0.35,0.595496,0,0.301,0
1,2004,6,3.875,3.25833,2.96587,3.45,2,0.725,1.41667,0,0.648,0
1,2004,7,4.5375,4.04167,3.7881,4.25833,2.88542,1.3375,2.13266,0,0.973,0
1,2004,8,4,3.5,3.45437,3.975,2.7125,1.525,2.0545,0,0.979,0
1,2004,9,2.1875,1.74167,2.00675,2.44167,1.44375,0.8125,1.14505,0,0.602,0
1,2004,10,1.11667,1.2,0.949206,1.16667,0.708333,0.4,0.544444,0,0.329333,0
1,2004,11,0.8875,0.858333,0.65873,0.691667,0.494792,0.225,0.352252,0,0.216,0
1,2004,12,0.5625,0.366667,0.471032,0.483333,0.292708,0.15,0.21464,0,0.142,0
1,2005,1,0.5375,0.291667,0.425397,0.416667,0.259375,0.15,0.193468,0,0.122,0
1,2005,2,0.55,0.366667,0.420635,0.411111,0.266667,0.15,0.185285,0,0.124,0
1,2005,3,0.625,0.466667,0.451984,0.516667,0.296875,0.15,0.211486,0,0.123,0
1,2005,4,0.8875,0.733333,0.666667,0.908333,0.408333,0.1875,0.302703,0,0.186,0
1,2005,5,2.125,1.925,1.59008,1.99167,0.944792,0.3625,0.667568,0,0.309,0
1,2005,6,3.9,3.625,3.02222,3.46667,2.025,0.8125,1.43491,0,0.612,0
1,2005,7,4.375,4.15,3.65556,4.14167,2.76667,1.3125,2.05,0,0.891,0
1,2005,8,3.8875,3.71667,3.34087,3.9,2.61979,1.3375,1.92748,0,0.91,0
1,2005,9,2.4125,2.175,2.05595,2.69167,1.46042,0.725,1.09099,0,0.571,0
1,2005,10,1.26667,1.22222,1.06243,1.43333,0.688889,0.316667,0.512312,0,0.281333,0
1,2005,11,1.05,0.908333,0.761111,0.95,0.485417,0.2375,0.318018,0,0.187,0
1,2005,12,0.5875,0.466667,0.494841,0.65,0.292708,0.15,0.197072,0,0.124,0
1,2006,1,0.45,0.383333,0.463889,0.641667,0.247917,0.15,0.177027,0,0.112,0
1,2006,2,0.466667,0.5,0.475661,0.655556,0.269444,0.15,0.181381,0,0.0986667,0
1,2006,3,0.55,0.55,0.487302,0.641667,0.304167,0.15,0.203153,0,0.123,0
1,2006,4,0.8125,0.625,0.637698,0.925,0.40625,0.2,0.267793,0,0.18,0
1,2006,5,1.9,1.45833,1.41468,1.94167,0.897917,0.3875,0.592117,0,0.318,0
1,2006,6,3.8,3.24167,2.99762,3.975,2.05,0.8375,1.37703,0,0.657,0
1,2006,7,4.475,4.04167,3.75397,4.68333,2.90625,1.35,2.04009,0,0.973,0
1,2006,8,4.075,3.575,3.43849,4.28333,2.75521,1.5,1.95653,0,0.968,0
1,2006,9,2.5,1.85,2.01944,2.80833,1.45729,0.875,1.06532,0,0.587,0
1,2006,10,1.18333,0.9,0.965609,1.46667,0.648611,0.35,0.477778,0,0.325333,0
1,2006,11,0.7625,0.7,0.681349,1.06667,0.442708,0.15,0.315991,0,0.214,0
1,2006,12,0.5,0.508333,0.496825,0.708333,0.280208,0.0625,0.201126,0,0.109,0
1,2007,1,0.475,0.408333,0.471429,0.566667,0.251042,0.05,0.173874,0,0.091,0
1,2007,2,0.45,0.411111,0.462963,0.633333,0.248611,0.05,0.172072,0,0.0853333,0
1,2007,3,0.55,0.441667,0.470635,0.683333,0.297917,0.0625,0.192117,0,0.114,0
1,2007,4,1.0125,0.641667,0.688889,0.991667,0.415625,0.1,0.261486,0,0.144,0
1,2007,5,2.6375,1.65,1.69048,2.40833,0.997917,0.325,0.652252,0,0.305,0
1,2007,6,4.25,3.46667,3.24444,4.33333,2.25521,1.0375,1.59167,0,0.721,0
1,2007,7,4.5875,4.21667,3.89881,4.70833,3.13229,1.7375,2.2795,0,1.127,0
1,2007,8,4.2625,3.68333,3.56825,4.375,2.82396,1.5375,2.05968,0,1.104,0
1,2007,9,3.175,2.075,2.25913,2.96667,1.56667,0.75,1.10653,0,0.606,0
1,2007,10,1.8,1.07778,1.10423,1.47778,0.736111,0.383333,0.484685,0,0.301333,0
1,2007,11,1.1125,0.741667,0.700794,0.816667,0.502083,0.275,0.303604,0,0.184,0
1,2007,12,0.7,0.508333,0.473413,0.591667,0.336458,0.1125,0.205631,0,0.084,0
1,2008,1,0.5875,0.441667,0.436508,0.591667,0.3,0.1,0.177703,0,0.074,0
1,2008,2,0.65,0.455556,0.456614,0.622222,0.3125,0.1,0.181682,0,0.0706667,0
1,2008,3,0.7,0.491667,0.49881,0.65,0.338542,0.1125,0.207658,0,0.085,0
1,2008,4,1.15,0.75,0.771429,0.975,0.533333,0.2375,0.316892,0,0.15,0
1,2008,5,2.8125,1.85833,1.90238,2.36667,1.19896,0.5375,0.744144,0,0.288,0
1,2008,6,4.4875,3.5,3.32698,3.71667,2.38854,1.125,1.55315,0,0.616,0
1,2008,7,4.7,4.025,3.85476,4.11667,3.01042,1.475,2.15473,0,0.961,0
1,2008,8,4.3,3.66667,3.5496,3.84167,2.81042,1.425,2.0732,0,0.986,0
1,2008,9,3.0375,2.25833,2.34722,2.85833,1.73229,0.875,1.23378,0,0.593,0
1,2008,10,1.68333,1.2,1.20423,1.4,0.879167,0.366667,0.60961,0,0.286667,0
