ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
1,1,31.81,27.50,0.48,59.59,1.57,57.06,9.02,29.82,0.30,0.01,0.18
2,2,33.62,29.34,0.46,60.39,1.68,61.00,10.30,30.29,0.30,0.01,0.21
3,3,34.24,29.96,0.46,51.74,2.40,106.16,18.68,48.80,0.30,0.00,0.27
4,4,28.80,24.45,0.49,60.01,1.25,41.94,5.33,25.45,0.30,0.02,0.13
5,5,30.87,26.55,0.48,55.94,1.82,76.34,12.00,40.23,0.30,0.01,0.19
6,6,33.52,29.23,0.46,59.07,1.77,67.04,11.37,32.89,0.30,0.01,0.21
7,7,33.20,28.90,0.47,60.14,1.67,61.57,10.22,31.19,0.30,0.01,0.20
8,8,33.59,29.30,0.46,57.38,2.13,96.80,15.89,52.10,0.30,0.01,0.22
9,9,31.98,27.67,0.47,60.83,1.51,53.90,8.41,29.09,0.30,0.01,0.18
10,10,32.81,28.51,0.47,58.31,1.99,89.55,14.31,49.80,0.30,0.01,0.20
11,11,29.41,25.06,0.49,57.18,1.58,63.80,9.26,35.91,0.30,0.02,0.16
12,12,32.51,28.21,0.47,58.63,2.04,95.98,14.99,55.66,0.30,0.01,0.20
13,13,30.58,26.26,0.48,59.96,1.46,53.27,7.81,30.11,0.30,0.01,0.16
14,14,30.26,25.93,0.49,62.81,1.32,47.83,6.30,31.24,0.30,0.01,0.14
15,15,33.03,28.74,0.47,61.52,1.86,83.01,12.85,49.55,0.30,0.01,0.19
16,16,30.87,26.55,0.48,62.10,1.40,51.58,7.27,31.65,0.30,0.01,0.15
17,17,34.02,29.74,0.46,60.07,2.13,101.06,16.15,58.62,0.30,0.00,0.21
18,18,30.24,25.91,0.49,60.75,1.47,58.18,8.16,35.68,0.30,0.01,0.15
19,19,33.27,28.98,0.47,63.20,1.97,96.82,14.54,61.93,0.30,0.01,0.18
20,20,31.77,27.46,0.48,61.94,1.61,66.84,9.88,40.83,0.30,0.01,0.17
21,21,32.74,28.45,0.47,63.77,1.84,87.44,12.86,56.96,0.30,0.01,0.17
22,22,32.74,28.45,0.47,63.77,1.84,87.44,12.86,56.96,0.30,0.01,0.17
