YEAR,MONTH,RUNOFF_V,FLOW_V,BASEFLOW_V
1982,1,20.7,1.78848,17.71072661
1982,2,17.1,1.47744,13.57016132
1982,3,16.1,1.39104,15.71656463
1982,4,19.7,1.70208,20.53928826
1982,5,47.1,4.06944,39.28454777
1982,6,128,11.0592,81.6412314
1982,7,185,15.984,77.90418149
1982,8,88.5,7.6464,59.48661719
1982,9,117,10.1088,74.52713752
1982,10,67.9,5.86656,68.59632793
1982,11,39,3.3696,38.53063934
1982,12,26.7,2.30688,27.06593355
1983,1,20.3,1.75392,21.0978119
1983,2,17.4,1.50336,15.90681421
1983,3,16.5,1.4256,16.96525289
1983,4,21.1,1.82304,20.97828
1983,5,56,4.8384,44.20630116
1983,6,143,12.3552,101.3886774
1983,7,172,14.8608,100.524243
1983,8,95.9,8.28576,94.85771802
1983,9,66.3,5.72832,68.96359934
1983,10,42,3.6288,50.52814215
1983,11,27.9,2.41056,31.42355207
1983,12,20.1,1.73664,23.31676562
1984,1,15.4,1.33056,17.95830843
1984,2,13.4,1.15776,14.59114215
1984,3,12.7,1.09728,16.32168
1984,4,17.4,1.50336,18.9673795
1984,5,62,5.3568,39.63804397
1984,6,120,10.368,70.77247438
1984,7,106,9.1584,74.1488995
1984,8,87,7.5168,48.05174678
1984,9,105,9.072,47.90034744
1984,10,64.5,5.5728,46.36931504
1984,11,39.3,3.39552,28.17731901
1984,12,25,2.16,20.60971736
1985,1,19,1.6416,17.71072661
1985,2,15.5,1.3392,13.57016132
1985,3,16.3,1.40832,15.71656463
1985,4,28,2.4192,20.53928826
1985,5,81.6,7.05024,39.28454777
1985,6,127,10.9728,81.6412314
1985,7,134,11.5776,77.90418149
1985,8,87.6,7.56864,59.48661719
1985,9,77.1,6.66144,74.52713752
1985,10,59.8,5.16672,68.59632793
1985,11,35.3,3.04992,38.53063934
1985,12,23.6,2.03904,27.06593355
1986,1,17.7,1.52928,21.0978119
1986,2,15.1,1.30464,15.90681421
1986,3,14.7,1.27008,16.96525289
1986,4,21.5,1.8576,20.97828
1986,5,62.4,5.39136,44.20630116
1986,6,116,10.0224,101.3886774
1986,7,102,8.8128,100.524243
1986,8,57.6,4.97664,94.85771802
1986,9,107,9.2448,68.96359934
1986,10,57,4.9248,50.52814215
1986,11,34.4,2.97216,31.42355207
1986,12,23.2,2.00448,23.31676562
1987,1,17.2,1.48608,17.95830843
1987,2,14.9,1.28736,14.59114215
1987,3,14,1.2096,16.32168
1987,4,18.3,1.58112,18.9673795
1987,5,48,4.1472,39.63804397
1987,6,135,11.664,70.77247438
1987,7,134,11.5776,74.1488995
1987,8,98.3,8.49312,48.05174678
1987,9,107,9.2448,47.90034744
1987,10,60.2,5.20128,46.36931504
1987,11,33.2,2.86848,28.17731901
1987,12,21.7,1.87488,20.60971736
1988,1,16.5,1.4256,10.82037689
1988,2,14.3,1.23552,12.00131702
1988,3,15,1.296,12.76838182
1988,4,21.1,1.82304,14.46161355
1988,5,63.3,5.46912,29.08668198
1988,6,138,11.9232,65.03981058
1988,7,123,10.6272,79.76120727
1988,8,97,8.3808,70.42056397
1988,9,134,11.5776,80.14468463
1988,10,90.9,7.85376,64.62261818
1988,11,45.7,3.94848,34.25860562
1988,12,30.1,2.60064,23.93381455
1989,1,20.5,1.7712,17.77001355
1989,2,18.1,1.56384,14.54714479
1989,3,17.5,1.512,15.53273554
1989,4,28,2.4192,16.57347769
1989,5,90,7.776,40.77259438
1989,6,185,15.984,87.98174777
1989,7,146,12.6144,93.26363207
1989,8,96.9,8.37216,71.05088231
1989,9,124,10.7136,81.95427074
1989,10,97.3,8.40672,67.77495967
1989,11,49.9,4.31136,37.62781587
1989,12,33.2,2.86848,27.38140661
1990,1,25.6,2.21184,22.50776826
1990,2,23.1,1.99584,18.60932826
1990,3,22.7,1.96128,19.84833818
1990,4,30.2,2.60928,20.95957785
1990,5,61.1,5.27904,35.2460886
1990,6,130,11.232,63.77345851
1990,7,117,10.1088,86.83056893
1990,8,103,8.8992,68.23469157
1990,9,120,10.368,76.24235008
1990,10,71.1,6.14304,56.29402413
1990,11,46,3.9744,35.03270975
1990,12,31.1,2.68704,25.47891372
1991,1,23.6,2.03904,20.56319405
1991,2,20.7,1.78848,16.8893524
1991,3,20.5,1.7712,18.29395339
1991,4,24,2.0736,17.82444793
1991,5,69.9,6.03936,29.98397752
1991,6,120,10.368,68.2962605
1991,7,106,9.1584,74.95457058
1991,8,101,8.7264,67.66474017
1991,9,84.9,7.33536,54.42278281
1991,10,81.2,7.01568,61.16715669
1991,11,46.5,4.0176,34.52418446
1991,12,30.2,2.60928,24.93656033
1992,1,23.3,2.01312,20.44529851
1992,2,20.9,1.80576,17.4484324
1992,3,21.3,1.84032,18.49524694
1992,4,34.5,2.9808,21.05413587
1992,5,86.8,7.49952,44.60720132
1992,6,206,17.7984,96.34788298
1992,7,186,16.0704,120.0858248
1992,8,113,9.7632,83.3806919
1992,9,99.6,8.60544,68.74378215
1992,10,81.4,7.03296,60.24383405
1992,11,44.4,3.83616,33.1866714
1992,12,29,2.5056,24.10222612
1993,1,23,1.9872,20.02371174
1993,2,20.4,1.76256,16.35233058
1993,3,18.9,1.63296,16.95083207
1993,4,26.4,2.28096,17.63842017
1993,5,83,7.1712,39.3123362
1993,6,116,10.0224,67.75837587
1993,7,150,12.96,100.2494499
1993,8,152,13.1328,99.07603736
1993,9,111,9.5904,79.10327603
1993,10,86.8,7.49952,65.9012519
1993,11,55.1,4.76064,40.32920826
1993,12,33.5,2.8944,27.3395276
1994,1,24.9,2.15136,21.29709421
1994,2,21,1.8144,16.81323471
1994,3,19.6,1.69344,17.72988099
1994,4,33.9,2.92896,19.61049719
1994,5,76.7,6.62688,40.86480793
1994,6,162,13.9968,77.82872727
1994,7,102,8.8128,71.74852066
1994,8,60.8,5.25312,47.10145686
1994,9,91,7.8624,50.43472661
1994,10,90.4,7.81056,60.20206215
