ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
1,1,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
2,2,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
3,3,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
4,4,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
5,5,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
6,6,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
7,7,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
8,8,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
9,9,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
10,10,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
11,11,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
12,12,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
13,13,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
14,14,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
15,15,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
16,16,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
17,17,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
18,18,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
19,19,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
20,20,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
21,21,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
22,22,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
23,23,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
24,24,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
25,25,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
26,26,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
27,27,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
28,28,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
29,29,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
30,30,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
31,31,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
32,32,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
33,33,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
34,34,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
35,35,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
36,36,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
37,37,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
38,38,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
39,39,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
40,40,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
41,41,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
42,42,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
43,43,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
44,44,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
45,45,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
46,46,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
47,47,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
48,48,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
49,49,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
50,50,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
51,51,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
52,52,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
53,53,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
54,54,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
55,55,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
56,56,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
57,57,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
58,58,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
59,59,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
60,60,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
61,61,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
62,62,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
63,63,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
64,64,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
65,65,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
66,66,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
67,67,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
68,68,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
69,69,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
70,70,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
71,71,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
72,72,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
73,73,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
74,74,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
75,75,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
